DATE,COUNT
2015-10-01,56.0
2015-10-02,66.0
2015-10-03,48.0
2015-10-04,50.0
2015-10-05,42.0
2015-10-06,53.0
2015-10-07,40.0
2015-10-08,39.0
2015-10-09,33.0
2015-10-10,37.0
2015-10-11,29.0
2015-10-12,44.0
2015-10-13,40.0
2015-10-14,39.0
2015-10-15,31.0
2015-10-16,29.0
2015-10-17,25.0
2015-10-18,18.0
2015-10-19,30.0
2015-10-20,48.0
2015-10-21,63.0
2015-10-22,61.0
2015-10-23,74.0
2015-10-24,41.0
2015-10-25,33.0
2015-10-26,48.0
2015-10-27,93.0
2015-10-28,84.0
2015-10-29,78.0
2015-10-30,86.0
2015-10-31,53.0
2015-11-01,37.0
2015-11-02,63.0
2015-11-03,144.0
2015-11-04,64.0
2015-11-05,77.0
2015-11-06,55.0
2015-11-07,41.0
2015-11-08,27.0
2015-11-09,43.0
2015-11-10,67.0
2015-11-11,53.0
2015-11-12,53.0
2015-11-13,44.0
2015-11-14,40.0
2015-11-15,36.0
2015-11-16,46.0
2015-11-17,54.0
2015-11-18,51.0
2015-11-19,29.0
2015-11-20,40.0
2015-11-21,63.0
2015-11-22,28.0
2015-11-23,45.0
2015-11-24,41.0
2015-11-25,498.0
2015-11-26,428.0
2015-11-27,268.0
2015-11-28,378.0
2015-11-29,200.0
2015-11-30,369.0
2015-12-01,217.0
2015-12-02,85.0
2015-12-03,48.0
2015-12-04,52.0
2015-12-05,42.0
2015-12-06,61.0
2015-12-07,61.0
2015-12-08,76.0
2015-12-09,69.0
2015-12-10,65.0
2015-12-11,39.0
2015-12-12,83.0
2015-12-13,70.0
2015-12-14,105.0
2015-12-15,82.0
2015-12-16,74.0
2015-12-17,62.0
2015-12-18,44.0
2015-12-19,44.0
2015-12-20,28.0
2015-12-21,57.0
2015-12-22,53.0
2015-12-23,54.0
2015-12-24,30.0
2015-12-25,39.0
2015-12-26,38.0
2015-12-27,45.0
2015-12-28,45.0
2015-12-29,50.0
2015-12-30,69.0
2015-12-31,46.0
2016-01-01,53.0
2016-01-02,65.0
2016-01-03,42.0
2016-01-04,59.0
2016-01-05,70.0
2016-01-06,64.0
2016-01-07,74.0
2016-01-08,72.0
2016-01-09,47.0
2016-01-10,46.0
2016-01-11,62.0
2016-01-12,60.0
2016-01-13,45.0
2016-01-14,64.0
2016-01-15,51.0
2016-01-16,41.0
2016-01-17,23.0
2016-01-18,30.0
2016-01-19,55.0
2016-01-20,44.0
2016-01-21,65.0
2016-01-22,147.0
2016-01-23,39.0
2016-01-24,40.0
2016-01-25,57.0
2016-01-26,37.0
2016-01-27,51.0
2016-01-28,47.0
2016-01-29,69.0
2016-01-30,34.0
2016-01-31,29.0
2016-02-01,38.0
2016-02-02,46.0
2016-02-03,195.0
2016-02-04,72.0
2016-02-05,37.0
2016-02-06,41.0
2016-02-07,34.0
2016-02-08,48.0
2016-02-09,43.0
2016-02-10,43.0
