GEO_ID,NAME,Population
860Z200US00601,00601,17242
860Z200US00602,00602,37548
860Z200US00603,00603,49804
860Z200US00606,00606,5009
860Z200US00610,00610,25731
860Z200US00611,00611,1671
860Z200US00612,00612,62425
860Z200US00616,00616,9828
860Z200US00617,00617,22541
860Z200US00622,00622,7838
860Z200US00623,00623,39320
860Z200US00624,00624,21709
860Z200US00627,00627,32873
860Z200US00631,00631,1414
860Z200US00636,00636,555
860Z200US00637,00637,23124
860Z200US00638,00638,18109
860Z200US00641,00641,24292
860Z200US00646,00646,36272
860Z200US00647,00647,4611
860Z200US00650,00650,13637
860Z200US00652,00652,4020
860Z200US00653,00653,9244
860Z200US00656,00656,17965
860Z200US00659,00659,37421
860Z200US00660,00660,15448
860Z200US00662,00662,40770
860Z200US00664,00664,15066
860Z200US00667,00667,23522
860Z200US00669,00669,27833
860Z200US00670,00670,8828
860Z200US00674,00674,39345
860Z200US00676,00676,36706
860Z200US00677,00677,15379
860Z200US00678,00678,25410
860Z200US00680,00680,46056
860Z200US00682,00682,28299
860Z200US00683,00683,29788
860Z200US00685,00685,40294
860Z200US00687,00687,28727
860Z200US00688,00688,12443
860Z200US00690,00690,5326
860Z200US00692,00692,32873
860Z200US00693,00693,56095
860Z200US00694,00694,231
860Z200US00698,00698,33774
860Z200US00703,00703,25332
860Z200US00704,00704,6865
860Z200US00705,00705,24467
860Z200US00707,00707,10544
860Z200US00714,00714,15802
860Z200US00715,00715,2299
860Z200US00716,00716,28423
860Z200US00717,00717,14199
860Z200US00718,00718,23290
860Z200US00719,00719,30063
860Z200US00720,00720,20331
860Z200US00723,00723,15983
860Z200US00725,00725,77223
860Z200US00727,00727,54207
860Z200US00728,00728,36675
860Z200US00729,00729,47393
860Z200US00730,00730,30521
860Z200US00731,00731,12292
860Z200US00735,00735,11299
860Z200US00736,00736,45833
860Z200US00738,00738,30706
860Z200US00739,00739,34964
860Z200US00740,00740,1492
860Z200US00741,00741,3526
860Z200US00745,00745,47718
860Z200US00751,00751,19369
860Z200US00754,00754,36673
860Z200US00757,00757,20183
860Z200US00765,00765,8249
860Z200US00766,00766,22354
860Z200US00767,00767,30646
860Z200US00769,00769,34163
860Z200US00771,00771,34761
860Z200US00772,00772,17936
860Z200US00773,00773,17772
860Z200US00775,00775,1792
860Z200US00777,00777,37717
860Z200US00778,00778,40585
860Z200US00780,00780,14934
860Z200US00782,00782,17965
860Z200US00783,00783,34093
860Z200US00784,00784,36313
860Z200US00786,00786,273
860Z200US00791,00791,47260
860Z200US00794,00794,28791
860Z200US00795,00795,43745
860Z200US00901,00901,6218
860Z200US00906,00906,165
860Z200US00907,00907,16864
860Z200US00909,00909,6987
860Z200US00911,00911,7496
860Z200US00912,00912,5786
860Z200US00913,00913,7261
860Z200US00915,00915,25075
860Z200US00917,00917,17319
860Z200US00918,00918,17439
860Z200US00920,00920,14798
860Z200US00921,00921,32062
860Z200US00923,00923,23607
860Z200US00924,00924,49654
860Z200US00925,00925,5501
860Z200US00926,00926,96732
860Z200US00927,00927,14297
860Z200US00934,00934,218
860Z200US00949,00949,67453
860Z200US00950,00950,6
860Z200US00951,00951,430
860Z200US00952,00952,8671
860Z200US00953,00953,66369
860Z200US00956,00956,72353
860Z200US00957,00957,40540
860Z200US00959,00959,43625
860Z200US00960,00960,2891
860Z200US00961,00961,28062
860Z200US00962,00962,19741
860Z200US00965,00965,6168
860Z200US00966,00966,16977
860Z200US00968,00968,3722
860Z200US00969,00969,38838
860Z200US00971,00971,28517
860Z200US00976,00976,59879
860Z200US00979,00979,14929
860Z200US00982,00982,14182
860Z200US00983,00983,31889
860Z200US00985,00985,31250
860Z200US00987,00987,58427
860Z200US01001,01001,16984
860Z200US01002,01002,27558
860Z200US01003,01003,13253
860Z200US01005,01005,4900
860Z200US01007,01007,15423
860Z200US01008,01008,1317
860Z200US01009,01009,980
860Z200US01010,01010,3711
860Z200US01011,01011,1201
860Z200US01012,01012,519
860Z200US01013,01013,23656
860Z200US01020,01020,29781
860Z200US01022,01022,2158
860Z200US01026,01026,1011
860Z200US01027,01027,17896
860Z200US01028,01028,16417
860Z200US01029,01029,714
860Z200US01030,01030,11708
860Z200US01031,01031,1406
860Z200US01032,01032,483
860Z200US01033,01033,6092
860Z200US01034,01034,1977
860Z200US01035,01035,5325
860Z200US01036,01036,4966
860Z200US01037,01037,706
860Z200US01038,01038,2522
860Z200US01039,01039,1511
860Z200US01040,01040,38238
860Z200US01050,01050,2467
860Z200US01053,01053,2031
860Z200US01054,01054,1889
860Z200US01056,01056,21002
860Z200US01057,01057,8152
860Z200US01060,01060,14461
860Z200US01062,01062,10910
860Z200US01063,01063,2106
860Z200US01066,01066,215
860Z200US01068,01068,1904
860Z200US01069,01069,8428
860Z200US01070,01070,577
860Z200US01071,01071,1486
860Z200US01072,01072,1366
860Z200US01073,01073,6224
860Z200US01074,01074,584
860Z200US01075,01075,18168
860Z200US01077,01077,9237
860Z200US01079,01079,701
860Z200US01080,01080,2400
860Z200US01081,01081,1684
860Z200US01082,01082,10565
860Z200US01083,01083,2549
860Z200US01084,01084,185
860Z200US01085,01085,41529
860Z200US01088,01088,598
860Z200US01089,01089,28835
860Z200US01092,01092,1343
860Z200US01093,01093,290
860Z200US01094,01094,60
860Z200US01095,01095,14694
860Z200US01096,01096,2509
860Z200US01097,01097,130
860Z200US01098,01098,1147
860Z200US01103,01103,2545
860Z200US01104,01104,23598
860Z200US01105,01105,12051
860Z200US01106,01106,16165
860Z200US01107,01107,11252
860Z200US01108,01108,27671
